Subject	Group	Condition	File	Train	BeatNb	BeatInstant	TapInstant
13	1	1	19	1	1	4.2015	5.1728
13	1	1	19	1	2	4.8445	5.61365
13	1	1	19	1	3	5.3132	6.1617
13	1	1	19	1	4	6.2015	6.66675
13	1	1	19	1	5	6.75515	7.45955
13	1	1	19	1	6	7.39365	7.7934
13	1	1	19	1	7	8.37665	8.1404
13	1	1	19	1	8	8.8994	8.92
13	1	1	19	1	9	9.22555	9.40435
13	1	1	19	1	10	10.33815	9.97275
13	1	1	19	1	11	10.7492	10.5055
13	1	1	19	1	12	11.92435	10.99735
13	1	1	19	1	13	12.2248	11.33355
13	1	1	19	1	14	12.68135	11.87435
13	1	1	19	1	15	13.852	12.177
13	1	1	19	1	16	14.549	12.66685
13	1	1	19	1	17	15.59455	13.00165
13	1	1	19	1	18	17.1271	14.0103
13	1	1	19	1	19	17.5203	14.3406
13	1	1	19	1	20	18.8295	14.7008
13	1	1	19	1	21	19.85715	15.00245
13	1	1	19	1	22	21.2378	15.7492
13	1	1	19	1	23	21.7338	16.2584
13	1	1	19	1	24	22.7123	17.33735
13	1	1	19	1	25	23.4138	17.6376
13	1	1	19	1	26	25.067	17.95215
13	1	1	19	1	27	25.83105	18.3796
13	1	1	19	1	28	26.4834	18.7149
13	1	1	19	1	29	27.92215	19.0569
13	1	1	19	1	30	29.3743	19.56005
13	1	1	19	1	31	30.1964	19.8647
13	1	1	19	1	32	30.9962	20.17315
13	1	1	19	1	33	32.12665	20.61155
13	1	1	23	1	1	4.2772	5.21405
13	1	1	23	1	2	4.9202	5.6892
13	1	1	23	1	3	5.3889	6.283
13	1	1	23	1	4	6.2772	6.81085
13	1	1	23	1	5	6.83085	7.16205
13	1	1	23	1	6	7.46935	7.4631
13	1	1	23	1	7	8.45235	7.8558
13	1	1	23	1	8	8.9751	8.2954
13	1	1	23	1	9	9.30125	8.86845
13	1	1	23	1	10	10.41385	9.3671
13	1	1	23	1	11	10.8249	9.9137
13	1	1	23	1	12	12.00005	10.49305
13	1	1	23	1	13	12.30045	11.0818
13	1	1	23	1	14	12.75705	11.4364
13	1	1	23	1	15	13.9277	12.1596
13	1	1	23	1	16	14.6247	12.68215
13	1	1	23	1	17	15.67025	12.98335
13	1	1	23	1	18	17.2028	14.1326
13	1	1	23	1	19	17.596	14.49585
13	1	1	23	1	20	18.9052	14.8637
13	1	1	23	1	21	19.93285	15.21645
13	1	1	23	1	22	21.3135	15.9335
13	1	1	23	1	23	21.80945	16.7714
13	1	1	23	1	24	22.788	17.31535
13	1	1	23	1	25	23.4895	17.69405
13	1	1	23	1	26	25.1427	17.99435
13	1	1	23	1	27	25.90675	18.2944
