Subject	Group	Condition	File	Train	BeatNb	BeatInstant	TapInstant
13	1	1	19	1	1	0.38545	1.35685
13	1	1	19	1	2	1.02845	1.7976
13	1	1	19	1	3	2.38545	2.34565
13	1	1	19	1	4	2.9391	2.8507
13	1	1	19	1	5	3.5776	3.6435
13	1	1	19	1	6	4.5606	3.97255
13	1	1	19	1	7	5.08335	4.32005
13	1	1	19	1	8	6.5221	5.10395
13	1	1	19	1	9	8.1083	5.5883
13	1	1	19	1	10	8.8653	6.1567
13	1	1	19	1	11	10.03595	6.68945
13	1	1	19	1	12	10.73295	7.1813
13	1	1	19	1	13	11.7785	7.5175
13	1	1	19	1	14	13.31105	8.0583
13	1	1	19	1	15	15.01345	8.36095
13	1	1	19	1	16	16.0411	8.8508
13	1	1	19	1	17	17.42175	9.1856
13	1	1	19	1	18	17.92225	10.19425
13	1	1	19	1	19	18.89625	10.52455
13	1	1	19	1	20	19.59775	10.88475
13	1	1	19	1	21	21.25095	11.18895
13	1	1	19	1	22	22.015	11.4908
13	1	1	19	1	23	22.66735	11.93315
13	1	1	19	1	24	24.1061	12.44235
13	1	1	19	1	25	25.55825	13.5213
13	1	1	19	1	26	26.38035	13.82145
13	1	1	19	1	27	27.18015	14.1361
13	1	1	19	1	28	28.3106	14.56355
13	1	1	23	1	1	0.66405	0.50165
13	1	1	23	1	2	1.30705	0.8034
13	1	1	23	1	3	2.66405	1.6009
13	1	1	23	1	4	3.2177	2.07605
13	1	1	23	1	5	3.8562	2.66985
13	1	1	23	1	6	4.8392	3.1977
13	1	1	23	1	7	5.36195	3.5489
13	1	1	23	1	8	7.21175	3.84995
13	1	1	23	1	9	8.3869	4.241
13	1	1	23	1	10	9.1439	4.68225
13	1	1	23	1	11	10.31455	5.2553
13	1	1	23	1	12	11.01155	5.75395
13	1	1	23	1	13	12.0571	6.30055
13	1	1	23	1	14	13.58965	6.8799
13	1	1	23	1	15	15.29205	7.46865
13	1	1	23	1	16	16.3197	7.83065
13	1	1	23	1	17	17.70035	8.54645
13	1	1	23	1	18	18.20085	9.069
13	1	1	23	1	19	19.17485	9.3704
13	1	1	23	1	20	19.87635	10.51945
13	1	1	23	1	21	21.52955	10.8827
13	1	1	23	1	22	22.2936	11.25055
13	1	1	23	1	23	22.94595	11.6033
13	1	1	23	1	24	24.3847	12.32035
13	1	1	23	1	25	25.83685	13.15825
13	1	1	23	1	26	26.65895	13.7022
13	1	1	23	1	27	27.45875	14.0809
13	1	1	23	1	28	28.5892	14.3812
13	1	1	24	1	1	0.6829	1.9795
13	1	1	24	1	2	1.7946	2.68035
13	1	1	24	1	3	2.38395	3.01325
13	1	1	24	1	4	3.2365	3.4841
13	1	1	24	1	5	3.875	3.8285
13	1	1	24	1	6	4.858	4.13755
13	1	1	24	1	7	5.70695	4.44885
13	1	1	24	1	8	7.2306	4.75175
13	1	1	24	1	9	8.69165	5.13245
13	1	1	24	1	10	10.33335	5.60225
13	1	1	24	1	11	11.0304	5.9842
13	1	1	24	1	12	12.07595	6.28635
13	1	1	24	1	13	13.6085	6.9952
13	1	1	24	1	14	15.31085	7.30235
13	1	1	24	1	15	16.33855	7.66685
13	1	1	24	1	16	17.7192	8.10765
13	1	1	24	1	17	18.21965	8.5722
